"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example"
67,【哪】,nǎ,pron.,which ( used in front of a measure word),～个杯子是你的？
68,【哪儿】,nǎr,pron.,where,你家在～？
69,【那（那儿）】,nà（nàr）,pron.,that,我不认识～个人。
69,【那（那儿）】,nà（nàr）,pron.,there,我们的车在～。
70,【呢】,ne,mp.,"used at the end of a sentence, indicating an
interrogative statement",你们家有几个人～？
70,【呢】,ne,mp.,"used at the end of a sentence to indicate a
statement",我在睡觉～。
71,【能】,néng,aux.,can; may,我～坐在这儿吗？
72,【你】,nǐ,pron.,you,～认识这个人吗？
73,【年】,nián,n.,year,我在中国住了三～。
74,【女儿】,nǚ’ér,n.,daughter,我有两个～。
75,【朋友】,péngyou,n.,friend,他是我的好～。
76,【漂亮】,piàoliang,adj.,good-looking; pretty; beautiful,你的衣服真～。
77,【苹果】,píngguǒ,n.,apple,你想不想吃个～？
78,【七】,qī,num.,seven,一个星期有～天。
79,【钱】,qián,n.,money,一个苹果三块～。
80,【前面】,qiánmiàn,n.,before; in front; at the head; ahead,～那个人是我的同学。
81,【请】,qǐng,v.,please,～坐在椅子上。
81,【请】,qǐng,v.,request; ask; invite; engage; hire,我去～老师帮忙。
81,【请】,qǐng,v.,entertain; treat,他想～我吃饭。
82,【去】,qù,v.,go; leave,我星期三～中国。
82,【去】,qù,v.,"used after a verb, indicating the tendency
of the action",小猫跑到房间里～了。
82,【去】,qù,v.,remove; get rid of,把这个字～掉，这个句子就对了。
83,【热】,rè,adj.,hot; high in temperature,今天很～。
83,【热】,rè,v.,heat up; warm up,我去～一下米饭。
84,【人】,rén,n.,human being; person; people,商店里有很多～。
85,【认识】,rènshi,v.,get to know; get acquainted with,～你很高兴。
86,【三】,sān,num.,three,我有～本书。
87,【商店】,shāngdiàn,n.,shop; store,她去～买东西了。
88,【上】,shàng,n.,upper; up; on; upward,水果在桌子～。
88,【上】,shàng,v.,"be engaged (in work, study, etc.) at a fixed
time",我们八点去～学。
88,【上】,shàng,v.,go up; mount; board; get on,我们坐电梯～楼。
89,【上午】,shàngwǔ,n.,morning,现在是～10 点。
90,【少】,shǎo,adj.,not much / many,杯子里的水很～。
90,【少】,shǎo,v.,be short; be lack,我还～本书。
91,【谁】,shéi,pron.,who(m),那个人是～？
92,【什么】,shénme,pron.,what,你看见了～？
92,【什么】,shénme,pron.,"express explicit meaning, referring to the
thing uncertain or unspoken",你真棒，～都会！
93,【十】,shí,num.,ten,现在是～月。
94,【时候】,shíhou,n.,moment; time; period,我回家的～，他在睡觉。
95,【是】,shì,v.,be,他不～学生。
95,【是】,shì,v.,yes,"甲：你是中国人吗？
乙：～，我是中国人。"
96,【书】,shū,n.,book,我喜欢读～。
97,【水】,shuǐ,n.,water,杯子里还有～吗？
98,【水果】,shuǐguǒ,n.,fruit,我想去商店买～。
99,【睡觉】,shuìjiào,v.,sleep; go to bed,儿子在～呢。
100,【说】,shuō,v.,speak; talk; say,你在～什么？
101,【说话】,shuōhuà,v.,speak; talk; say,他们在～。
102,【四】,sì,num.,four,我们～个人去看电影。
103,【岁】,suì,nm.,year (of age),李医生今年 40～。
104,【他】,tā,pron.,he; him,～是我们的老师。
105,【她】,tā,pron.,she; her,我认识～的妈妈。
106,【太】,tài,adv.,"(in expressing approval or compliment)
very much or extremely",这个学校～大了。
106,【太】,tài,adv.,too; excessively,这个苹果～大，我吃不完。
107,【天气】,tiānqì,n.,weather,今天的～非常好。
108,【听】,tīng,v.,hear; listen,你～，谁来了？
108,【听】,tīng,v.,obey; accept,这件事儿，我～你的。
109,【同学】,tóngxué,n.,student; classmate,～们，你们好！
110,【喂】,wèi,int.,hello; hey;hi,～，李老师在吗？
111,【我】,wǒ,pron.,I; me,～是一个学生。
112,【我们】,wǒmen,pron.,we; us,～都是学生。
113,【五】,wǔ,num.,five,今天星期～。
114,【喜欢】,xǐhuan,v.,like or be interested in (sb. or sth.),我～学汉语。
115,【下】,xià,n.,under; below,小猫在桌子～面。
115,【下】,xià,v.,fall,今天～雨了。
115,【下】,xià,n.,next,我～个月去北京。
115,【下】,xià,v.,go down; get off,他在～飞机呢。
115,【下】,xià,v.,finish; leave (work or shift or class),我们八点～班。
116,【下午】,xiàwǔ,n.,afternoon,我今天～不去学校了。
117,【下雨】,xià yǔ,v.,rain,昨天～了。
118,【先生】,xiānsheng,n.,(addressing) Mr.; Mister; sir,你也认识王～？
119,【现在】,xiànzài,n.,now; nowadays; today; at present,～是 12 点。
120,【想】,xiǎng,aux.,want to; be going to; would like to,我～星期六去北京。
120,【想】,xiǎng,v.,think; think about; think of; think over,妈妈，你在～什么呢？
120,【想】,xiǎng,v.,miss,爸爸，我～你了。
121,【小】,xiǎo,adj.,small; little,这个苹果太~了。
121,【小】,xiǎo,v.,become smaller,雨～了，我们现在走吧。
121,【小】,xiǎo,adj,the youngest,这是我的～儿子，他还有个哥哥。
122,【小姐】,xiǎojiě,n.,Miss,～，你叫什么名字？
123,【些】,xiē,nm.,some,我买了～苹果。
123,【些】,xiē,vm.,a little bit,我的病好～了。
124,【写】,xiě,v.,write,你～的字很漂亮。
125,【谢谢】,xièxie,v.,thank,甲：～你。乙：不客气！
126,【星期】,xīngqī,n.,week,一个～有七天。
127,【学生】,xuésheng,n.,student,我们学校里的～很多。
128,【学习】,xuéxí,v.,study; learn,你喜欢～汉语吗？
129,【学校】,xuéxiào,n.,school,我们～很大。
130,【一】,yī,num.,one,这儿～个人都没有。
130,【一】,yī,num.,used between a reduplicative verb,请让我看～看。
131,【一点儿】,yìdiǎnr,nm.,a little,我只有～钱。
132,【衣服】,yīfu,n.,clothing; clothes; dress,我在商店买了很多～。
133,【医生】,yīshēng,n.,doctor; surgeon,他是这个医院里的～。
134,【医院】,yīyuàn,n.,hospital,这是一个大～。
135,【椅子】,yǐzi,n.,chair,小狗在～下面呢。
136,【有】,yǒu,v.,have,我～一个女儿。
136,【有】,yǒu,v.,be; there be,桌子上～本书。
137,【月】,yuè,n.,month,一年有 12 个～。
138,【再见】,zàijiàn,n.,goodbye,妈妈，我去学校了，～。
139,【在】,zài,v.,exist; lie; be at; be on,书～桌子上。
139,【在】,zài,adv.,"in the process of doing sth; just; be + verb
+ ing",我～吃饭呢。
140,【怎么】,zěnme,pron.,"inquiring for property, condition, way, and
cause, etc.",你～去北京？
141,【怎么样】,zěnmeyàng,pron.,"How about it? What do you think?
(inquiring for comments and suggestions as an independent sentence)",我们去看电影，～？
142,【这（这儿）】,zhè（zhèr）,pron.,this; here,"～个人是我的同学。
我能坐在～儿吗？"
143,【中国】,Zhōngguó,n.,China,我在～学汉语。
144,【中午】,zhōngwǔ,n.,noon; midday; noonday,我今天～去火车站。
145,【住】,zhù,v.,live; stay; dwell,他在北京～了很多年。
146,【桌子】,zhuōzi,n.,desk; table,电脑在～上。
147,【字】,zì,n.,written Chinese character,这个～你认识吗？
148,【昨天】,zuótiān,n.,yesterday,他～没去学校。
149,【坐】,zuò,v.,sit,他一个下午都～在电视前。
149,【坐】,zuò,v.,travel by (a vehicle),我～飞机去中国。
150,【做】,zuò,v.,make; produce,今天妈妈～了很多菜。
150,【做】,zuò,v.,"be; become, to do",你是～什么工作的？
150,【做】,zuò,v.,do,我每天～作业。
151,【吧】,ba,mp.,"used at the end of a sentence to express
speculative interrogation",你是个学生～？
151,【吧】,ba,mp.,used at the end of an imperative sentence,请你走～！
152,【白】,bái,adj.,white,我很爱穿那件～衣服。
153,【百】,bǎi,num.,one hundred,这个自行车五～多元。
154,【帮助】,bāngzhù,v.,help; assist; aid; support,请～我找一家搬家公司，好吗？
155,【报纸】,bàozhǐ,n.,newspaper,我每天早上都要读～。
156,【比】,bǐ,prep.,used to make comparison,我的孩子～我高。
157,【别】,bié,adv.,don’t,太晚了，～看电视了。
158,【长】,cháng,adj.,long,姐姐的腿～，跑得快。
159,【唱歌】,chànggē,v.,sing,我最爱～了，我给你们唱一个。
160,【出】,chū,v.,exit; go out,我已经走～火车站了。
160,【出】,chū,v.,happen,你帮我看看，这台电脑～什么问题了？
160,【出】,chū,v.,"used after a verb, indicating direction",我从他的脸上，没看～他难过来。
161,【穿】,chuān,v.,wear; put on,天冷了，多～些衣服吧。
162,【次】,cì,nm./vm.,number of times,我去过一～北京。
163,【从】,cóng,prep.,from; since,～我家到公司，开车要 20 分钟。
164,【错】,cuò,adj.,wrong; incorrect,对不起，我～了。
165,【打篮球】,dǎ lánqiú,adj.,play basketball,我每天下午都去～。
166,【大家】,dàjiā,pron.,everyone;everybody,请～不要等我了。
167,【到】,dào,v.,arrive; reach,我早上 9 点～公司。
168,【得】,de,sa.,marker of complement,你走～太快了。
169,【等】,děng,v.,wait,你还要再～我 10 分钟。
170,【弟弟】,dìdi,n.,younger brother,在我们家，我最大，我下面还有两个～。
171,【第一】,dì-yī,num.,first,这是我～次见到他。
172,【懂】,dǒng,v.,understand,你的意思我～了。
173,【对】,duì,adj.,right; correct,你是～的，我错了。
174,【对】,duì,prep.,to; towards,孩子～妈妈说：“妈妈，我爱你。”
175,【房间】,fángjiān,n.,room,我们两个人住一个～。
176,【非常】,fēicháng,adv.,very,奶奶～喜欢我们送的礼物。
177,【服务员】,fúwùyuán,n.,attendant; waiter; waitress,我在饭馆做～。
178,【高】,gāo,adj.,tall; high,我比爸爸还～。
179,【告诉】,gàosu,v.,tell,你能～我学校怎么走吗？
180,【哥哥】,gēge,n.,elder brother,我～比我大三岁。
181,【给】,gěi,v.,hand over,请把这本书～他。
181,【给】,gěi,prep.,for,这是～你买的。
182,【公共汽车】,gōnggòngqìchē,n.,bus,坐～去，要 20 分钟。
183,【公司】,gōngsī,n.,company; firm,我在一个～上班。
184,【狗】,gǒu,n.,dog,女儿很喜欢小～。
185,【贵】,guì,adj.,expensive; costly,这块手表很～。
186,【过】,guo,sa.,"used after a verb, referring to sth. that
happened previously",我没看～这本书。
187,【还】,hái,adv.,still; yet,他～没来呢。
187,【还】,hái,adv.,in addition,除了不吃肉，我～不吃鸡蛋。
188,【孩子】,háizi,n.,son or daughter,我有三个～。
188,【孩子】,háizi,n.,child,我们这里女～比男～多。
189,【好吃】,hǎochī,n.,delicious,您做的米饭真～。
190,【黑】,hēi,adj.,black; dark,我不喜欢～颜色的衣服。
191,【红】,hóng,adj.,red,我的自行车是～色的。
192,【欢迎】,huānyíng,v.,welcome,～你们来我们家。
193,【回答】,huídá,v.,answer; reply; respond,我能～这个问题。
193,【回答】,huídá,n.,answer; reply; response,你的～不能让人满意。
194,【火车站】,huǒchēzhàn,n.,railway station,我下午 3 点去～。
195,【机场】,jīchǎng,n.,airport,我在～工作了三年了。
196,【鸡蛋】,jīdàn,n.,egg,我每天早上都要吃个～。
197,【件】,jiàn,nm.,used for clothes and things,这～衣服颜色非常好看。
198,【教室】,jiàoshì,n.,classroom,请大家都到～去上课。
199,【姐姐】,jiějie,n.,elder sister,我有两个～。
200,【介绍】,jièshào,v.,introduce sb. or sth.,我来～一下我的朋友。
200,【介绍】,jièshào,n.,an introduction,我在报纸上看到了这个电影的～。
201,【进】,jìn,v.,enter,我马上要～机场了。
202,【近】,jìn,adj.,close; near,我们家离公司很～。
202,【近】,jìn,adj.,intimate,我跟小王的关系很～。
203,【就】,jiù,adv.,indicating certainty; right on,我～知道他会来的。
203,【就】,jiù,adv.,immediately; right now; right away,我一到家～给他打电话。
204,【觉得】,juéde,v.,feel; think,你～这本书怎么样？
205,【咖啡】,kāfēi,n.,coffee,您想喝～，还是茶？
206,【开始】,kāishǐ,v.,start; begin,我们从第十课～学习。
206,【开始】,kāishǐ,n.,beginning,（学汉字）～可能会觉得有点难。
207,【考试】,kǎoshì,n.,examination / take a test,为了准备～，他每天都学习到很晚。
208,【可能】,kěnéng,aux.,may; can,我～不能去上班了。
208,【可能】,kěnéng,adj.,possible; probable; likely,这件事，完全是～的。
