Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
bang,3,bang3,Yes,绑,to tie  / bind or fasten together  / to kidnap; notice or announcement  / list of names  / public roll of successful examinees; variant of 榜
bang,4,bang4,Yes,棒,"stick  / club  / cudgel  / smart  / capable  / strong  / wonderful  / classifier for legs of a relay race; scale (instrument for weighing)  / to weigh  / (loanword) pound (unit of weight, about 454 grams)  / (printing) point (unit used to measure the size of type)  / (Tw) (printing) pound; ream weight (used to describe paper thickness); near  / approaching  / to depend on  / (slang) to have an intimate relationship with sb  / Taiwan pr. [pang2], [bang1], [bang4]"
bao,1,bao1,Yes,包,"to cover  / to wrap  / to hold  / to include  / to take charge of  / to contract (to or for)  / package  / wrapper  / container  / bag  / to hold or embrace  / bundle  / packet  / CL: 個｜个, 隻｜只; to cook slowly over a low flame  / pot  / saucepan; to peel  / to skin  / to shell  / to shuck"
bao,2,bao2,Yes,薄,thin  / cold in manner  / indifferent  / weak  / light  / infertile; hail
bao,3,bao3,Yes,饱,to eat till full  / satisfied; to defend; to protect; to keep  / to guarantee; to ensure  / (old) civil administration unit in the baojia 保甲 system; jewel  / gem  / treasure  / precious
bao,4,bao4,Yes,报,to report; to inform; to announce  / to respond; to reply  / to sign up for; to register for (abbr. for 報名｜报名)  / to reward; to recompense  / to take revenge; to retaliate  / newspaper  / periodical; journal  / bulletin  / telegram; to hold  / to carry (in one&#039;s arms)  / to hug  / to embrace  / to surround  / to cherish  / (coll.) (of clothes) to fit nicely; to explode or burst  / to quick fry or quick boil
bei,1,bei1,Yes,杯,"cup  / trophy cup  / classifier for certain containers of liquids: glass, cup; variant of 杯; variant of 杯  / trophy cup  / classifier for certain containers of liquids: glass, cup"
bei,2,bei2,No,,
bei,3,bei3,Yes,北,north  / (classical) to be defeated; berkelium (chemistry) (Tw)
bei,4,bei4,Yes,背,"the back of a body or object  / to turn one&#039;s back  / to hide something from  / to learn by heart  / to recite from memory  / (slang) unlucky  / hard of hearing; quilt  / to cover (with)  / (literary) to suffer (a misfortune)  / used to indicate passive voice (placed before the doer of the action like &quot;by&quot; in English passive-voice sentences, or, if the doer is not mentioned, before the verb)  / (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊｜被旅游 to &quot;go on a trip&quot;); (two, three etc) -fold  / times (multiplier)  / double  / to increase or multiply"
