Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
fei,3,fei3,No,,
fei,4,fei4,Yes,费,to cost  / to spend  / fee  / wasteful  / expenses; lung  / CL: 個｜个; to abolish  / to abandon  / to abrogate  / to discard  / to depose  / to oust  / crippled  / abandoned  / waste
fen,1,fen1,Yes,分,to divide; to separate  / to distribute; to allocate  / to distinguish (good and bad)  / (bound form) branch of (an organization); sub- (as in 分局)  / fraction  / one tenth (of certain units)  / unit of length equivalent to 0.33 cm  / minute (unit of time)  / minute (angular measurement unit)  / a point (in sports or games)  / 0.01 yuan (unit of money); perfume  / fragrance; phenol
fen,2,fen2,Yes,坟,grave  / tomb  / CL: 座 / embankment  / mound  / ancient book; to burn; name of a river
fen,3,fen3,Yes,粉,powder  / cosmetic face powder  / food prepared from starch; noodles or pasta made from any kind of flour  / to turn to powder  / (dialect) to whitewash  / white  / pink  / (suffix) fan (abbr. for 粉絲｜粉丝)  / to be a fan of; spirit
fen,4,fen4,Yes,份,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc  / variant of 分; manure  / dung; part  / share  / ingredient  / component"
feng,1,feng1,Yes,风,"wind  / news  / style  / custom  / manner  / CL: 陣｜阵, 絲｜丝; to confer  / to grant  / to bestow a title  / to seal  / classifier for sealed objects, esp. letters; insane  / mad  / wild"
feng,2,feng2,Yes,缝,to sew  / to stitch; to meet by chance  / to come across  / (of a calendar event) to come along  / (of an event) to fall on (a particular day)  / to fawn upon; surname Feng
feng,3,feng3,Yes,讽,to satirize  / to mock  / to recite  / Taiwan pr. [feng4]; recite  / chant; to throw a rider
feng,4,feng4,Yes,缝,seam  / crack  / narrow slit  / CL: 道; surname Feng; phoenix
fo,1,fo1,No,,
fo,2,fo2,Yes,佛,Buddha; Buddhism (abbr. for 佛陀); (of dust) to rise in the air; Japanese variant of 佛
fo,3,fo3,No,,
fo,4,fo4,No,,
fou,1,fou1,No,,
fou,2,fou2,Yes,紑,bright  / glossy (of silk)
fou,3,fou3,Yes,否,to negate  / to deny  / not; pottery
fou,4,fou4,No,,
fu,1,fu1,Yes,敷,"to spread  / to lay out  / to apply (powder, ointment etc)  / sufficient (to cover)  / enough; skin; husband  / man  / manual worker  / conscripted laborer (old)"
fu,2,fu2,Yes,福,good fortune  / happiness  / luck; to support with the hand  / to help sb up  / to support oneself by holding onto something  / to help; width  / roll  / classifier for textiles or pictures
fu,3,fu3,Yes,簠,basket used in state worship; hatchet; (classical) barely  / just  / just now
fu,4,fu4,Yes,付,"to pay  / to hand over to  / classifier for pairs or sets of things; rich  / abundant  / wealthy; secondary  / auxiliary  / deputy  / assistant  / vice-  / abbr. for 副詞｜副词 adverb  / classifier for pairs, sets of things &amp; facial expressions"
ga,1,ga1,Yes,咖,used in 咖喱; used in the transliteration of Greek letters; used in 戛納｜戛纳
ga,2,ga2,Yes,噶,phonetic ga (used in rendering Tibetan and Mongolian sounds)  / Tibetan Ge: language of Buddha  / (dialect) final particle similar to 了 (esp. in Yunnan); to crush together (in a crowd)  / to make friends  / to check (accounts); gadolinium (chemistry)
ga,3,ga3,Yes,尕,little (dialect); variant of 嘎; (dialect) ill-tempered; ornery  / (dialect) naughty; mischievous
ga,4,ga4,Yes,尬,(bound form) embarrassing; awkward; old variant of 尬
gai,1,gai1,Yes,该,should  / ought to  / probably  / must be  / to deserve  / to owe  / to be sb&#039;s turn to do sth  / that  / the above-mentioned; boundary; roots of plant
gai,2,gai2,No,,
gai,3,gai3,Yes,改,to change  / to alter  / to transform  / to correct
gai,4,gai4,Yes,盖,lid  / top  / cover  / canopy  / to cover  / to conceal  / to build; calcium (chemistry); to beg for alms  / beggar
gan,1,gan1,Yes,干,dry  / dried food  / empty; hollow  / taken in to nominal kinship; adoptive; foster  / futile; in vain  / (dialect) rude; blunt  / (dialect) to cold-shoulder; (bound form) to have to do with; to concern oneself with  / one of the ten heavenly stems 天干  / (archaic) shield; old variant of 乾｜干
gan,2,gan2,No,,
gan,3,gan3,Yes,赶,to overtake; to catch up with  / to hurry; to rush  / to try to catch (the bus etc)  / to drive (cattle etc) forward; to drive (sb) away  / to avail oneself of (an opportunity)  / until; by (a certain time); to dare  / daring  / (polite) may I venture; stick  / pole  / lever  / classifier for long objects such as guns
gan,4,gan4,Yes,干,tree trunk  / main part of sth  / to manage  / to work  / to do  / capable  / cadre  / to kill (slang)  / to fuck (vulgar)  / (coll.) pissed off  / annoyed; abbr. for Jiangxi Province 江西省  / Gan River in Jiangxi Province 江西省; variant of 贛｜赣
gang,1,gang1,Yes,刚,hard  / firm  / strong  / just  / barely  / exactly; steel; jar  / vat  / classifier for loads of laundry  / CL: 口
gang,2,gang2,No,,
gang,3,gang3,Yes,港,harbor  / port  / CL: 個｜个; (bound form) hillock; mound  / sentry post; policeman&#039;s beat  / (bound form) job; post; Hong Kong (abbr. for 香港)  / surname Gang
gang,4,gang4,Yes,鿍,"hill  / long and narrow highland  / (used in place names); coffin-bearing pole (old)  / thick pole; bar; rod  / thick line  / to mark with a thick line  / to sharpen (a knife, razor etc)  / to get into a dispute with  / standard; criterion  / hyphen; dash; stupid (Wu dialect)"
gao,1,gao1,Yes,高,high  / tall  / above average  / loud  / your (honorific); surname Gao; ointment  / paste  / CL: 帖
gao,2,gao2,No,,
gao,3,gao3,Yes,搞,to do  / to make  / to go in for  / to set up  / to get hold of  / to take care of; manuscript  / draft  / stalk of grain; a pick
gao,4,gao4,Yes,告,"(bound form) to say; to tell  / to announce; to report  / to denounce  / to file a lawsuit; to sue; zirconium (chemistry); to moisten  / to grease  / to apply (cream, ointment)  / to dip a brush in ink"
ge,1,ge1,Yes,歌,"song (CL:首,支)  / (bound form) to sing; elder brother; variant of 歌"
ge,2,ge2,Yes,隔,to separate  / to partition  / to stand or lie between  / at a distance from  / after or at an interval of; square  / frame  / rule  / (legal) case  / style  / character  / standard  / pattern  / (grammar) case  / (classical) to obstruct  / to hinder  / (classical) to arrive  / to come  / (classical) to investigate  / to study exhaustively; pavilion (usu. two-storied)  / cabinet (politics)  / boudoir  / woman&#039;s chamber  / rack  / shelf
ge,3,ge3,Yes,个,"used in 自個兒｜自个儿; surname Ge; 100 ml  / one-tenth of a peck  / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗"
ge,4,ge4,Yes,个,(classifier used before a noun that has no specific classifier)  / (bound form) individual; variant of 個｜个; each  / every
gei,1,gei1,Yes,假,"used in 假掰; (bound form) base; foundation  / (bound form) radical (chemistry)  / (bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)"
gei,2,gei2,No,,
gei,3,gei3,Yes,给,to  / for  / for the benefit of  / to give  / to allow  / to do sth (for sb)  / (grammatical equivalent of 被)  / (grammatical equivalent of 把)  / (sentence intensifier)
gei,4,gei4,No,,
gen,1,gen1,Yes,跟,"heel  / to follow closely  / to go with  / (of a woman) to marry sb  / with  / compared with  / to  / towards  / and (joining two nouns); root  / basis  / classifier for long slender objects, e.g. cigarettes, guitar strings  / CL: 條｜条 / radical (chemistry)"
gen,2,gen2,Yes,哏,funny  / amusing  / sth comical
gen,3,gen3,Yes,艮,blunt  / tough  / chewy
gen,4,gen4,Yes,亘,"extending all the way across  / running all the way through; one of the Eight Trigrams 八卦, symbolizing mountain  / ☶  / ancient Chinese compass point: 45° (northeast); ranunculus"
geng,1,geng1,Yes,庚,"age  / seventh of the ten Heavenly Stems 十天干  / seventh in order  / letter &quot;G&quot; or Roman &quot;VII&quot; in list &quot;A, B, C&quot;, or &quot;I, II, III&quot; etc  / ancient Chinese compass point: 255°  / hepta; thick soup; to plow  / to till"
geng,2,geng2,No,,
geng,3,geng3,Yes,梗,"branch  / stem  / stalk  / CL: 根 / to block  / to hinder  / (neologism that evolved from 哏, initially in Taiwan, during the first decade of the 21st century) memorable creative idea (joke, catchphrase, meme, neologism, witty remark etc)  / prominent feature of a creative work (punchline of a joke, trope in a drama, special ingredient in a dish, riff in a pop song etc); used in 脖頸｜脖颈; surname Geng"
geng,4,geng4,Yes,更,more  / even more  / further  / still  / still more
gong,1,gong1,Yes,公,"public  / collectively owned  / common  / international (e.g. high seas, metric system, calendar)  / make public  / fair  / just  / Duke, highest of five orders of nobility 五等爵位  / honorable (gentlemen)  / father-in-law  / male (animal); palace  / temple  / castration (as corporal punishment)  / first note in pentatonic scale; to provide; to supply  / to be for (the use or convenience of)"
gong,2,gong2,No,,
gong,3,gong3,Yes,拱,to cup one&#039;s hands in salute  / to surround  / to arch  / to dig earth with the snout  / arched; surname Gong; (bound form) to fix in place; to make firm and secure
gong,4,gong4,Yes,共,"common  / general  / to share  / together  / total  / altogether  / abbr. for 共產黨｜共产党, Communist party; to lay (sacrificial offerings)  / (bound form) offerings  / to confess (Taiwan pr. [gong1])  / confession; statement (Taiwan pr. [gong1]); surname Gong"
gou,1,gou1,Yes,沟,"ditch  / gutter  / groove  / gully  / ravine  / CL: 道; to hook  / to sew  / to crochet  / hook  / check mark or tick  / window catch; to attract  / to arouse  / to tick  / to strike out  / to delineate  / to collude  / variant of 鉤｜钩, hook"
gou,2,gou2,No,,
gou,3,gou3,Yes,狗,"dog  / CL: 隻｜只, 條｜条; surname Gou; (literary) if indeed  / (bound form) careless; negligent  / (bound form) temporarily"
gou,4,gou4,Yes,够,enough (sufficient)  / enough (too much)  / (coll.) (before adj.) really  / (coll.) to reach by stretching out; to buy  / to purchase; to construct  / to form  / to make up  / to compose  / literary composition  / paper mulberry (Broussonetia papyrifera)
gu,1,gu1,Yes,孤,"lone  / lonely; used in 骨碌碌  / used in 骨碌; (onom.) for the sound of a bird, an empty stomach etc"
gu,2,gu2,No,,
gu,3,gu3,Yes,古,"ancient  / old  / paleo-; old variant of 鼓; drum  / CL: 通, 面 / to drum  / to strike  / to rouse  / to bulge  / to swell"
gu,4,gu4,Yes,顾,to look after; to take into consideration; to attend to; to employ  / to hire  / to rent; variant of 雇
gua,1,gua1,Yes,瓜,melon; gourd; squash  / (slang) a piece of gossip; to scrape  / to blow  / to shave  / to plunder  / to extort; to blow (of the wind)
gua,2,gua2,No,,
gua,3,gua3,Yes,寡,few  / scant  / widowed; cut off the flesh as punishment
gua,4,gua4,Yes,挂,to hang; to suspend (from a hook etc)  / to hang up (the phone)  / (of a line) to be dead  / to be worried; to be concerned  / (dialect) to make a phone call  / to register (at a hospital); to make an appointment (with a doctor)  / (slang) to kill; to die; to be finished; to fail (an exam)  / classifier for sets or clusters of objects; (bound form) Chinese-style unlined garment; gown; divinatory diagram  / one of the eight divinatory trigrams of the Book of Changes 易經｜易经  / one of the sixty-four divinatory hexagrams of the Book of Changes 易經｜易经
guai,1,guai1,Yes,乖,"(of a child) obedient, well-behaved  / clever  / shrewd  / alert  / perverse  / contrary to reason  / irregular  / abnormal; to slap  / also pr. [guo2]"
guai,2,guai2,No,,
guai,3,guai3,Yes,拐,cane  / walking stick  / crutch  / old man&#039;s staff; to turn (a corner etc)  / to kidnap  / to swindle  / to misappropriate  / seven (used as a substitute for 七)  / variant of 枴｜拐; variant of 枴｜拐
guai,4,guai4,Yes,怪,bewildering  / odd  / strange  / uncanny  / devil  / monster  / to wonder at  / to blame  / quite  / rather; variant of 怪; decisive
guan,1,guan1,Yes,关,"mountain pass  / to close; to shut; to turn off  / to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)  / to concern; to involve; government official  / governmental  / official  / public  / organ of the body  / CL: 個｜个; surname Guan"
guan,2,guan2,No,,
guan,3,guan3,Yes,管,to take care (of)  / to control  / to manage  / to be in charge of  / to look after  / to run  / to care about  / tube  / pipe  / woodwind  / classifier for tube-shaped objects  / particle similar to 把 in 管...叫 constructions  / writing brush  / (coll.) to  / towards; variant of 管; surname Guan
guan,4,guan4,Yes,惯,accustomed to  / used to  / indulge  / to spoil (a child); can  / jar  / pot; to irrigate  / to pour  / to install (software)  / to record (music)
guang,1,guang1,Yes,光,light; ray (CL:道)  / bright; shiny  / only; merely  / used up; finished  / to leave (a part of the body) uncovered; sparkling water; used in 膀胱
guang,2,guang2,No,,
guang,3,guang3,Yes,广,wide  / numerous  / to spread; surname Guang; rough  / uncouth  / boorish
guang,4,guang4,Yes,逛,to stroll  / to visit; woven wood and bamboo utensil  / classifier for threads and strings
gui,1,gui1,Yes,归,to return  / to go back to  / to give back to  / (of a responsibility) to be taken care of by  / to belong to  / to gather together  / (used between two identical verbs) despite  / to marry (of a woman) (old)  / division on the abacus with a one-digit divisor; tortoise; turtle  / (coll.) cuckold; silicon (chemistry)
gui,2,gui2,No,,
gui,3,gui3,Yes,鬼,disembodied spirit; ghost; devil  / (suffix) person with a certain vice or addiction etc  / sly; crafty; resourceful (variant of 詭｜诡)  / one of the 28 constellations of ancient Chinese astronomy; (bound form) sly; crafty  / (literary) weird; bizarre  / (literary) contradictory; inconsistent; ancient bronze food vessel with a round mouth and two or four handles  / round basket of bamboo
gui,4,gui4,Yes,贵,expensive  / (bound form) highly valued; precious  / (bound form) noble; of high rank  / (prefix) (honorific) your; to kneel; abbr. for Guizhou Province 貴州｜贵州
gun,1,gun1,No,,
gun,2,gun2,No,,
gun,3,gun3,Yes,滚,to boil  / to roll  / to take a hike  / Get lost!; radical in Chinese characters (Kangxi radical 2); roller
gun,4,gun4,Yes,棍,stick; rod; truncheon  / scoundrel; villain
guo,1,guo1,Yes,锅,"pot; pan; wok; cauldron  / pot-shaped thing  / CL: 口, 隻｜只; surname Guo; name of a river"
guo,2,guo2,Yes,国,country; nation; state  / (bound form) national; surname Guo; old variant of 國｜国
guo,3,guo3,Yes,裹,to wrap around  / bundle; parcel; package  / to press into service; to pressgang; to make off with (sth); fruit  / result  / resolute  / indeed  / if really; rice cake (typically made with glutinous rice flour and steamed)
guo,4,guo4,Yes,过,to cross  / to go over  / to pass (time)  / to celebrate (a holiday)  / to live  / to get along  / excessively  / too-
ha,1,ha1,Yes,哈,"abbr. for 哈薩克斯坦｜哈萨克斯坦, Kazakhstan  / abbr. for 哈爾濱｜哈尔滨, Harbin; (interj.) ha!  / (onom. for laughter)  / (slang) to be infatuated with; to adore  / (bound form) husky (dog) (abbr. for 哈士奇); hafnium (chemistry)"
ha,2,ha2,Yes,虾,used in 蝦蟆｜虾蟆; used in 蛤蟆
ha,3,ha3,Yes,哈,a Pekinese; a pug  / (dialect) to scold
ha,4,ha4,No,,
hai,1,hai1,Yes,嗨,"oh alas  / hey!  / hi! (loanword)  / a high (natural or drug-induced) (loanword); sound of sighing  / (interjection expressing surprise, sorrow, regret, disappointment etc) oh  / damn  / wow; (interj.)  / happy  / sound of laughter"
hai,2,hai2,Yes,还,still  / still in progress  / still more  / yet  / even more  / in addition  / fairly  / passably (good)  / as early as  / even  / also  / else; bones of the body; (bound form) child
hai,3,hai3,Yes,海,"ocean  / sea  / CL: 個｜个, 片 / great number of people or things  / (dialect) numerous; surname Hai; hydroxylamine (chemistry)"
hai,4,hai4,Yes,害,"to do harm to  / to cause trouble to  / harm  / evil  / calamity; helium (chemistry); 12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar  / ancient Chinese compass point: 330°"
han,1,han1,Yes,憨,silly  / simple-minded  / foolish  / naive  / sturdy  / tough  / heavy (of rope); intoxicated; snore  / to snore
han,2,han2,Yes,含,to keep in the mouth  / to contain; envelope  / case  / letter; to contain  / to include  / culvert
han,3,han3,Yes,喊,"to yell  / to shout  / to call out for (a person); &quot;cliff&quot; radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc; Nasturtium montanum"
han,4,han4,Yes,汗,"perspiration  / sweat  / CL: 滴, 頭｜头, 身 / to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); to weld  / to solder; drought"
hang,1,hang1,Yes,夯,"to ram; to tamp  / a rammer; a tamper  / variant of ㄏㄤ[hang1]; (Tw) (slang) popular; hot (from Taiwanese 烘, Tai-lo pr. [hang])"
hang,2,hang2,Yes,行,"(bound form) row; line  / (bound form) line of business; trade; profession  / (bound form) commercial firm  / (bound form) to rank (first, second etc) among one&#039;s siblings (by age)  / (in data tables) row; (Tw) column  / classifier for rows or lines; boat  / ship  / craft  / to navigate  / to sail  / to fly; surname Hang  / abbr. for Hangzhou 杭州"
hang,3,hang3,No,,
hang,4,hang4,Yes,沆,a ferry  / fog  / flowing
hao,1,hao1,Yes,薅,to weed  / to grip or clutch; celery wormwood (Artemisia carvifolia)  / to give off  / to weed; sound  / noise
hao,2,hao2,Yes,号,roar  / cry  / CL: 個｜个; grand  / heroic; trench
hao,3,hao3,Yes,好,good  / appropriate; proper  / all right!  / (before a verb) easy to  / (before a verb) good to  / (before an adjective for exclamatory effect) so  / (verb complement indicating completion)  / (of two people) close; on intimate terms  / (after a personal pronoun) hello; ancient place name  / surname Hao
hao,4,hao4,Yes,号,ordinal number  / day of a month  / mark  / sign  / business establishment  / size  / ship suffix  / horn (wind instrument)  / bugle call  / assumed name  / to take a pulse  / classifier used to indicate number of people; to be fond of; to have a tendency to; to be prone to; to waste  / to spend  / to consume  / to squander  / news  / (coll.) to delay  / to dilly-dally
he,1,he1,Yes,喝,to drink  / variant of 嗬; (bound form) to scold  / to expel breath  / (onom.) laughter (usu. reduplicated)  / interjection of surprise; to scold
he,2,he2,Yes,和,(joining two nouns) and; together with; with (Taiwan pr. [han4])  / (math.) sum  / to make peace  / (sports) to draw; to tie  / (bound form) harmonious  / (bound form) Japan; Japanese; old variant of 和; (literary) harmonious (variant of 和)
he,3,he3,No,,
he,4,he4,Yes,和,to compose a poem in reply (to sb&#039;s poem) using the same rhyme sequence  / to join in the singing  / to chime in with others; surname He; to congratulate
hei,1,hei1,Yes,黑,black  / dark  / sinister  / secret  / shady  / illegal  / to hide (sth) away  / to vilify  / (loanword) to hack (computing); hey; abbr. for Heilongjiang province 黑龍江｜黑龙江
hei,2,hei2,No,,
hei,3,hei3,Yes,镬气,"&quot;wok hei&quot;, a distinctive smoky, charred, and slightly caramelized flavor imparted to food cooked in a wok over a high flame (orthographic borrowing from Cantonese, Jyutping: wok6 hei3)"
hei,4,hei4,No,,
hen,1,hen1,No,,
hen,2,hen2,Yes,痕,scar  / traces; to pull  / to drag  / to stop
hen,3,hen3,Yes,很,"very; quite  / (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element); ruthless; fierce; ferocious  / determined; resolute  / to harden (one&#039;s heart)  / old variant of 很; to act contrary to"
hen,4,hen4,Yes,恨,to hate  / to regret
heng,1,heng1,Yes,哼,to groan  / to snort  / to hum  / to croon  / humph!; prosperous  / henry (unit of inductance); fat  / bloated
heng,2,heng2,Yes,横,"horizontal  / across  / crosswise  / horizontal stroke (in Chinese characters)  / to place (sth) flat (on a surface)  / to cross (a river, etc)  / in a jumble  / chaotic  / (in fixed expressions) harsh and unreasonable  / violent; used in 道行; to weigh  / weight  / measure"
heng,3,heng3,No,,
heng,4,heng4,Yes,横,harsh and unreasonable  / unexpected; (used in place names)  / also pr. [feng1]
hong,1,hong1,Yes,轰,explosion  / bang  / boom  / rumble  / to attack  / to shoo away  / to expel; roar of laughter (onom.)  / hubbub  / to roar (as a crowd); to bake  / to heat by fire  / to set off by contrast
hong,2,hong2,Yes,红,red  / popular  / revolutionary  / bonus; great  / magnificent  / macro (computing)  / macro-; surname Hong
hong,3,hong3,Yes,哄,"to deceive  / to coax  / to amuse (a child); used in the title of an ancient song, 囉嗊曲｜啰唝曲"
hong,4,hong4,Yes,哄,tumult  / uproar  / commotion  / disturbance; variant of 鬨｜哄; vast  / infinite
hou,1,hou1,Yes,齁,to snore  / thirsty from excessively salty or sweet food  / (dialect) very  / extremely
hou,2,hou2,Yes,猴,"monkey  / CL: 隻｜只; surname Hou; marquis, second of the five orders of ancient Chinese nobility 五等爵位  / nobleman; high official"
hou,3,hou3,Yes,吼,to roar  / to howl  / to shriek  / roar or howl of an animal  / bellow of rage; roar or howl of an animal  / bellow of rage; mythical man-eating creature resembling a dog
hou,4,hou4,Yes,后,empress  / queen  / (archaic) monarch  / ruler; back  / behind  / rear  / afterwards  / after  / later  / post-; thick  / deep or profound  / kind  / generous  / rich or strong in flavor  / to favor  / to stress
hu,1,hu1,Yes,滹,surname Hu  / name of a river; to smear; to daub; to cover (a surface with sth sticky or paste-like)  / Taiwan pr. [hu2]; surname Hu
hu,2,hu2,Yes,湖,"lake  / CL: 個｜个, 片; pot  / classifier for bottled liquid; to paste; to glue  / blurry; unclear; muddled  / (esp. of food) scorched; burnt  / paste; mush; thick gruel"
hu,3,hu3,Yes,虎,tiger  / CL: 隻｜只; bank of a river; a tiger&#039;s roar  / to scare  / to intimidate  / (coll.) to fool  / to bluff
hu,4,hu4,Yes,户,a household  / door  / family; to protect; short name for Shanghai
hua,1,hua1,Yes,花,"flower  / blossom  / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern  / florid  / to spend (money, time)  / (coll.) lecherous  / lustful; old variant of 花; variant of 花  / flower  / blossom  / also pr. [wei3]"
hua,2,hua2,Yes,划,to row  / to paddle  / profitable  / worth (the effort)  / it pays (to do sth); to cut  / to slash  / to scratch (cut into the surface of sth)  / to strike (a match); to slip; to slide  / slippery; smooth  / sly; slippery; not to be trusted
hua,3,hua3,No,,
hua,4,hua4,Yes,话,"dialect  / language  / spoken words  / speech  / talk  / words  / conversation  / what sb said  / CL: 種｜种, 席, 句, 口, 番; old variant of 話｜话; to draw; to paint  / picture; painting (CL:幅,張｜张)  / to draw (a line) (variant of 劃｜划)  / stroke of a Chinese character (variant of 劃｜划)  / (calligraphy) horizontal stroke (variant of 劃｜划)"
huai,1,huai1,No,,
huai,2,huai2,Yes,槐,Chinese scholar tree (Sophora japonica)  / Japanese pagoda tree; surname Huai; bosom  / heart  / mind  / to think of  / to harbor in one&#039;s mind  / to conceive (a child)
huai,3,huai3,No,,
huai,4,huai4,Yes,坏,bad  / spoiled  / broken  / to break down  / (suffix) to the utmost; Japanese variant of 壞｜坏
huan,1,huan1,Yes,欢,joyous  / happy  / pleased; variant of 歡｜欢; hubbub  / clamor  / variant of 歡｜欢
huan,2,huan2,Yes,还,to pay back  / to return; ring  / hoop  / loop  / (chain) link  / classifier for scores in archery etc  / to surround  / to encircle  / to hem in; surname Huan
huan,3,huan3,Yes,缓,slow  / unhurried  / sluggish  / gradual  / not tense  / relaxed  / to postpone  / to defer  / to stall  / to stave off  / to revive  / to recuperate; good-looking  / cute
huan,4,huan4,Yes,换,to exchange  / to change (clothes etc)  / to substitute  / to switch  / to convert (currency); to suffer (from illness)  / to contract (a disease)  / misfortune  / trouble  / danger  / worry; fantasy
huang,1,huang1,Yes,慌,to get panicky; to lose one&#039;s head  / (coll.) (after 得) unbearably; terribly; desolate  / shortage  / scarce  / out of practice  / absurd  / uncultivated  / to neglect; a watery waste  / to reach
huang,2,huang2,Yes,黄,yellow  / pornographic  / to fall through; surname Huang or Hwang; surname Huang
huang,3,huang3,Yes,晃,to dazzle  / to flash past; variant of 晃; sound of a bell  / small bell
huang,4,huang4,Yes,晃,to sway  / to shake  / to wander about; (literary) (of the face) pale due to qi and blood deficiency
hui,1,hui1,Yes,挥,to wave  / to brandish  / to command  / to conduct  / to scatter  / to disperse; ash  / dust  / lime  / gray  / discouraged; dejected; sunshine  / to shine upon  / variant of 輝｜辉
hui,2,hui2,Yes,回,to circle  / to go back  / to turn around  / to answer  / to return  / to revolve  / Hui ethnic group (Chinese Muslims)  / time  / classifier for acts of a play  / section or chapter (of a classic book); to curve  / to return  / to revolve; variant of 迴｜回
hui,3,hui3,Yes,毁,to destroy; to ruin  / to defame; to slander; to destroy by fire; variant of 毀｜毁  / to defame  / to slander
hui,4,hui4,Yes,会,can; to have the skill; to know how to  / to be likely to; to be sure to  / to meet; to get together  / meeting; gathering  / (suffix) union; group; association  / (bound form) a moment (Taiwan pr. [hui3]); to remit  / to converge (of rivers)  / to exchange; class  / collection
hun,1,hun1,Yes,昏,"muddle-headed  / twilight  / to faint  / to lose consciousness; old variant of 昏; strong-smelling vegetable (garlic etc)  / non-vegetarian food (meat, fish etc)  / vulgar  / obscene"
hun,2,hun2,Yes,魂,soul; spirit; immortal soul (that can be detached from the body); old variant of 魂; muddy; turbid (variant of 渾｜浑)  / brainless; foolish (variant of 渾｜浑)  / Taiwan pr. [hun4]
hun,3,hun3,No,,
hun,4,hun4,Yes,混,to mix  / to mingle  / muddled  / to drift along  / to muddle along  / to pass for  / to get along with sb  / thoughtless  / reckless; confused  / dishonor; privy  / animal pen  / muddy  / disordered  / to disturb
huo,1,huo1,Yes,豁,opening  / stake all  / sacrifice  / crack  / slit; (coll.) to slit with a knife  / (variant of 耠) hoe  / to loosen soil with a hoe; to shovel
huo,2,huo2,Yes,活,"to live  / alive  / living  / work  / workmanship; to combine a powdery substance (flour, plaster etc) with water  / Taiwan pr. [huo4]; meet"
huo,3,huo3,Yes,火,fire  / urgent  / ammunition  / fiery or flaming  / internal heat (Chinese medicine)  / hot (popular)  / classifier for military units (old)  / Kangxi radical 86; companion  / partner  / group  / classifier for groups of people  / to combine  / together; meals (abbr. for 伙食)  / variant of 夥｜伙
huo,4,huo4,Yes,或,maybe  / perhaps  / might  / possibly  / or; (literary) to catch; to capture  / (literary) to get; to obtain; to win; (bound form) to reap; to harvest
ji,1,ji1,Yes,鸡,fowl  / chicken  / CL: 隻｜只 / (slang) prostitute; to amass; to accumulate; to store up  / (math.) product (the result of multiplication)  / (TCM) constipation; indigestion; small table
ji,2,ji2,Yes,级,"level  / grade  / rank  / step (of stairs)  / CL: 個｜个 / classifier: step, level; urgent  / pressing  / rapid  / hurried  / worried  / to make (sb) anxious; extremely  / pole (geography, physics)  / utmost  / top"
ji,3,ji3,Yes,几,how much  / how many  / several  / a few; to crowd in  / to cram in  / to force others aside  / to press  / to squeeze  / to find (time in one&#039;s busy schedule); surname Ji  / also pr. [Ji4]
ji,4,ji4,Yes,记,"to record  / to note  / to memorize  / to remember  / mark  / sign  / classifier for blows, kicks, shots; to tie  / to fasten  / to button up; to entrust; to place in sb&#039;s care  / (bound form) to depend on; to attach oneself to; to reside temporarily  / (bound form) foster (as in 寄女 foster daughter)  / to send by post; to mail"
jia,1,jia1,No,,
jia,2,jia2,Yes,夹,double-layered (quilt); lined (garment); variant of 唊; (old) to talk recklessly  / to talk nonsense  / talkative
jia,3,jia3,Yes,假,"fake  / false  / artificial  / to borrow  / if  / suppose; variant of 假  / to borrow; first of the ten Heavenly Stems 十天干  / (used for an unspecified person or thing)  / first (in a list, as a party to a contract etc)  / letter &quot;A&quot; or roman &quot;I&quot; in list &quot;A, B, C&quot;, or &quot;I, II, III&quot; etc  / armor plating  / shell or carapace  / (of the fingers or toes) nail  / bladed leather or metal armor (old)  / ranking system used in the Imperial examinations (old)  / civil administration unit in the baojia 保甲 system (old)  / ancient Chinese compass point: 75°"
jia,4,jia4,Yes,架,"to support  / frame  / rack  / framework  / classifier for planes, large vehicles, radios etc; price  / value  / (chemistry) valence; (of a woman) to marry  / to marry off a daughter  / to shift (blame etc)"
jian,1,jian1,Yes,间,"between  / among  / within a definite time or space  / room  / section of a room or lateral space between two pairs of pillars  / classifier for rooms; shoulder  / to shoulder (responsibilities etc); pointed; tapering; sharp  / (of a sound) shrill; piercing  / (of one&#039;s hearing, sight etc) sharp; acute; keen  / to make (one&#039;s voice) shrill  / sharp point; tip  / the best of sth; the cream of the crop"
jian,2,jian2,No,,
jian,3,jian3,No,,
jian,4,jian4,Yes,见,"to see  / to meet  / to appear (to be sth)  / to interview  / opinion  / view; item  / component  / classifier for events, things, clothes etc; to establish  / to found  / to set up  / to build  / to construct"
jiang,1,jiang1,Yes,江,"river  / CL: 條｜条, 道; will  / shall  / to use  / to take  / to checkmate  / just a short while ago  / (introduces object of main verb, used in the same way as 把); ginger"
jiang,2,jiang2,No,,
